Команда,Байт1,Байт2,Байт3,Байт4
LOAD_CONST,0X95,0X13,0X00,0X00
LOAD_CONST,0X15,0X00,0X00,0X00
STORE_MEM,0X00,0X00,0X00,0X00
LOAD_CONST,0X35,0X00,0X00,0X00
LOAD_MEM,0X0A,0X00,0X00,0X00
MUL,0X12,0X00,0X00,0X00
LOAD_CONST,0X15,0X00,0X00,0X00
STORE_MEM,0X20,0X00,0X00,0X00
LOAD_CONST,0X55,0X00,0X00,0X00
LOAD_MEM,0X0A,0X00,0X00,0X00
MUL,0X12,0X00,0X00,0X00
LOAD_CONST,0X35,0X00,0X00,0X00
STORE_MEM,0X40,0X00,0X00,0X00
LOAD_CONST,0X75,0X00,0X00,0X00
LOAD_MEM,0X0A,0X00,0X00,0X00
MUL,0X12,0X00,0X00,0X00
LOAD_CONST,0X55,0X00,0X00,0X00
STORE_MEM,0X60,0X00,0X00,0X00
LOAD_CONST,0X95,0X00,0X00,0X00
LOAD_MEM,0X0A,0X00,0X00,0X00
MUL,0X12,0X00,0X00,0X00
LOAD_CONST,0X75,0X00,0X00,0X00
STORE_MEM,0X80,0X00,0X00,0X00
LOAD_CONST,0XB5,0X00,0X00,0X00
LOAD_MEM,0X0A,0X00,0X00,0X00
MUL,0X12,0X00,0X00,0X00
LOAD_CONST,0X95,0X00,0X00,0X00
STORE_MEM,0XA0,0X00,0X00,0X00
LOAD_CONST,0XD5,0X00,0X00,0X00
LOAD_MEM,0X0A,0X00,0X00,0X00
MUL,0X12,0X00,0X00,0X00
LOAD_CONST,0XB5,0X00,0X00,0X00
STORE_MEM,0XC0,0X00,0X00,0X00
LOAD_CONST,0XF5,0X00,0X00,0X00
LOAD_MEM,0X0A,0X00,0X00,0X00
MUL,0X12,0X00,0X00,0X00
LOAD_CONST,0XD5,0X00,0X00,0X00
STORE_MEM,0XE0,0X00,0X00,0X00
